date,description,amount
2026-01-01,SWIGGY BANGALORE,-468.82
2026-01-01,ZOMATO ORDER,-437.13
2026-01-02,SWIGGY BANGALORE,-462.22
2026-01-03,SWIGGY BANGALORE,-502.94
2026-01-04,SALARY CREDIT,55000.00
2026-01-06,ZOMATO ORDER,-431.06
2026-01-06,AMAZON PURCHASE,-1650.35
2026-01-07,SWIGGY BANGALORE,-386.52
2026-01-07,ZOMATO ORDER,-343.18
2026-01-07,DMART RETAIL,-2053.40
2026-01-07,ELECTRICITY BOARD,-1922.11
2026-01-08,SWIGGY BANGALORE,-482.61
2026-01-08,ZOMATO ORDER,-405.39
2026-01-08,UBER TRIP,-366.58
2026-01-09,ZOMATO ORDER,-393.91
2026-01-10,UBER TRIP,-279.56
2026-01-10,UBER TRIP,-293.88
2026-01-11,DMART RETAIL,-2330.77
2026-01-11,DMART RETAIL,-2501.76
2026-01-12,NETFLIX SUBSCRIPTION,-570.48
2026-01-12,UBER TRIP,-357.00
2026-01-13,DMART RETAIL,-1937.46
2026-01-13,UBER TRIP,-323.48
2026-01-13,AMAZON PURCHASE,-1664.92
2026-01-15,UBER TRIP,-276.17
2026-01-20,SWIGGY BANGALORE,-413.91
2026-01-20,UBER TRIP,-351.62
2026-01-21,AMAZON PURCHASE,-1400.09
2026-01-22,UBER TRIP,-278.68
2026-01-23,ZOMATO ORDER,-425.92
2026-01-23,UBER TRIP,-327.43
2026-01-24,SWIGGY BANGALORE,-412.63
2026-01-24,SWIGGY BANGALORE,-396.34
2026-01-26,UBER TRIP,-329.96
2026-02-01,AMAZON PURCHASE,-1712.22
2026-02-02,ZOMATO ORDER,-445.16
2026-02-02,ZOMATO ORDER,-378.51
2026-02-03,UBER TRIP,-330.54
2026-02-04,SALARY CREDIT,55000.00
2026-02-04,UBER TRIP,-354.89
2026-02-04,AMAZON PURCHASE,-1628.56
2026-02-05,UBER TRIP,-315.95
2026-02-06,UBER TRIP,-295.27
2026-02-07,ZOMATO ORDER,-383.29
2026-02-08,SWIGGY BANGALORE,-489.66
2026-02-09,DMART RETAIL,-2238.03
2026-02-09,NETFLIX SUBSCRIPTION,-680.78
2026-02-11,ZOMATO ORDER,-458.52
2026-02-13,ZOMATO ORDER,-449.70
2026-02-13,UBER TRIP,-368.94
2026-02-13,UBER TRIP,-339.13
