user_id,persona,date,description,amount,category,subcategory,merchant_key,is_anomaly,anomaly_type
1,student,2024-01-01,ALLOWANCE FROM PARENTS BANGALORE,14592.4,Income,Other Income,ALLOWANCE FROM PARENTS,0,
1,student,2024-01-01,UPI-HALDIRAMS-972677641207@icici,-281.4,Food & Dining,Restaurant,HALDIRAMS,0,
1,student,2024-01-02,UPI/618485441094/JIO PREPAID/oksbi,-423.93,Utilities,Telecom,JIO PREPAID,0,
1,student,2024-01-03,POS 2891XXXXXX2753 PIZZA HUT HYDERABAD,-125.46,Food & Dining,Delivery,PIZZA HUT,0,
1,student,2024-01-04,BLUSMART *34353,-208.19,Transport,Rideshare,BLUSMART,0,
1,student,2024-01-04,UPI-DELHI METRO-869598675@ybl,-181.04,Transport,Public,DELHI METRO,0,
1,student,2024-01-04,ZEPTO 563651,-350.88,Groceries,Online,ZEPTO,0,
1,student,2024-01-06,CHAAYOS *80739,-298.42,Food & Dining,Cafe,CHAAYOS,0,
1,student,2024-01-06,SWIGGY NOIDA,-200.42,Food & Dining,Delivery,SWIGGY,0,
1,student,2024-01-06,UPI/800849550/HALDIRAMS/oksbi,-196.92,Food & Dining,Restaurant,HALDIRAMS,0,
1,student,2024-01-07,ACH D- BMTC BUS PASS-125611,-100.81,Transport,Public,BMTC BUS PASS,0,
1,student,2024-01-08,COMEDY CLUB TICKETS DELHI,-341.84,Entertainment,Events,COMEDY CLUB TICKETS,0,
1,student,2024-01-09,ACH D- VIJAY SALES-825391,-545.86,Shopping,Electronics,VIJAY SALES,0,
1,student,2024-01-11,POS 1158XXXXXX2832 THIRD WAVE COFFEE GURGAON,-156.71,Food & Dining,Cafe,THIRD WAVE COFFEE,0,
1,student,2024-01-13,HP PETROL PUMP BANGALORE,-60.45,Transport,Fuel,HP PETROL PUMP,0,
1,student,2024-01-14,ACH D- ICLOUD-899787,-113.6,Subscriptions,Software,ICLOUD,0,
1,student,2024-01-14,MEESHO 343273,-607.57,Shopping,Online,MEESHO,0,
1,student,2024-01-14,MORE SUPERMARKET PUNE,-215.93,Groceries,Supermarket,MORE SUPERMARKET,0,
1,student,2024-01-15,JIOMART CHENNAI,-82.25,Groceries,Online,JIOMART,0,
1,student,2024-01-15,UPI-RAPIDO-733168887@ybl,-153.36,Transport,Rideshare,RAPIDO,0,
1,student,2024-01-15,UPI/975168513199/THIRD WAVE COFFEE/okhdfc,-114.13,Food & Dining,Cafe,THIRD WAVE COFFEE,0,
1,student,2024-01-17,PAYTM INSIDE 915640,-394.82,Entertainment,Events,PAYTM INSIDER,0,
1,student,2024-01-18,MUMBAI LOCAL PASS *48532,-41.94,Transport,Public,MUMBAI LOCAL PASS,0,
1,student,2024-01-21,NAMMA METRO GURGAON,-82.66,Transport,Public,NAMMA METRO,0,
1,student,2024-01-22,BLUE T 451235,-255.03,Food & Dining,Cafe,BLUE TOKAI,0,
1,student,2024-01-22,RAPIDO *78995,-61.19,Transport,Rideshare,RAPIDO,0,
1,student,2024-01-23,THIRD WAVE COFFEE MUMBAI,-295.77,Food & Dining,Cafe,THIRD WAVE COFFEE,0,
1,student,2024-01-25,UPI-COURSERA-654137672@axl,-1065.55,Education,Courses,COURSERA,0,
1,student,2024-01-27,BOX8 CHENNAI,-385.32,Food & Dining,Delivery,BOX8,0,
1,student,2024-01-29,ACH D- PUNJABI DHABA-322086,-165.69,Food & Dining,Restaurant,PUNJABI DHABA,0,
1,student,2024-01-30,ACH D- CAFE COFFEE DAY-939482,-150.45,Food & Dining,Cafe,CAFE COFFEE DAY,0,
1,student,2024-01-30,PVR CINEMAS BANGALORE,-468.54,Entertainment,Movies,PVR CINEMAS,0,
1,student,2024-01-31,HP PETROL PUM 873037,-73.05,Transport,Fuel,HP PETROL PUMP,0,
1,student,2024-01-31,POS 7498XXXXXX4249 MUMBAI LOCAL PASS GURGAON,-103.41,Transport,Public,MUMBAI LOCAL PASS,0,
1,student,2024-02-02,ALLOWANCE FROM PARENTS HYDERABAD,14694.92,Income,Other Income,ALLOWANCE FROM PARENTS,0,
1,student,2024-02-04,HALDIRAMS *46907,-272.95,Food & Dining,Restaurant,HALDIRAMS,0,
1,student,2024-02-05,INDIAN O 053413,-115.82,Transport,Fuel,INDIAN OIL PETROL,0,
1,student,2024-02-08,COLLEGE FEE PAYMENT *89433,-819.21,Education,Fees,COLLEGE FEE PAYMENT,0,
1,student,2024-02-08,OLA CABS *89866,-70.42,Transport,Rideshare,OLA CABS,0,
1,student,2024-02-09,UPI/757475159/SWIGGY/okhdfc,-209.02,Food & Dining,Delivery,SWIGGY,0,
1,student,2024-02-10,BLUSMART BANGALORE,-255.11,Transport,Rideshare,BLUSMART,0,
1,student,2024-02-10,UPI/654578486/RAPIDO/oksbi,-60.41,Transport,Rideshare,RAPIDO,0,
1,student,2024-02-12,UPI/393719127557/GOOGLE ONE/okhdfc,-215.49,Subscriptions,Software,GOOGLE ONE,0,
1,student,2024-02-13,POS 3434XXXXXX8316 CAFE COFFEE DAY NOIDA,-125.44,Food & Dining,Cafe,CAFE COFFEE DAY,0,
1,student,2024-02-13,UPI-BLUE TOKAI-679471404490@ybl,-125.21,Food & Dining,Cafe,BLUE TOKAI,0,
1,student,2024-02-15,THIRD WAVE COFFEE DELHI,-212.83,Food & Dining,Cafe,THIRD WAVE COFFEE,0,
1,student,2024-02-16,UPI/332608308/THIRD WAVE COFFEE/oksbi,-133.67,Food & Dining,Cafe,THIRD WAVE COFFEE,0,
1,student,2024-02-17,INDIAN OIL PETR 517396,-91.07,Transport,Fuel,INDIAN OIL PETROL,0,
1,student,2024-02-18,UPI/648949023151/BHARAT PETROLEUM/ybl,-283.14,Transport,Fuel,BHARAT PETROLEUM,0,
1,student,2024-02-19,POS 5901XXXXXX7951 EATSURE CHENNAI,-220.18,Food & Dining,Delivery,EATSURE,0,
1,student,2024-02-19,UPI-BHARAT PETROLEUM-249194634144@axl,-205.51,Transport,Fuel,BHARAT PETROLEUM,0,
1,student,2024-02-21,DELHI METRO 484837,-137.29,Transport,Public,DELHI METRO,0,
1,student,2024-02-21,MCDONALDS CHENNAI,-267.04,Food & Dining,Restaurant,MCDONALDS,0,
1,student,2024-02-21,POS 6352XXXXXX7807 MCDONALDS HYDERABAD,-221.48,Food & Dining,Restaurant,MCDONALDS,0,
1,student,2024-02-22,ACH D- PLAYSTATION STORE-845957,-456.67,Entertainment,Gaming,PLAYSTATION STORE,0,
1,student,2024-02-22,KFC HYDERABAD,-175.22,Food & Dining,Restaurant,KFC,0,
1,student,2024-02-22,UPI-UBER-642531655329@ybl,-127.88,Transport,Rideshare,UBER,0,
1,student,2024-02-23,PAYTM INSIDER *70379,-223.9,Entertainment,Events,PAYTM INSIDER,0,
1,student,2024-02-23,UPI-MORE SUPERMARKET-831165735@axl,-249.4,Groceries,Supermarket,MORE SUPERMARKET,0,
1,student,2024-02-23,UPI-UNACADEMY-690219647212@ybl,-1584.57,Education,Courses,UNACADEMY,0,
1,student,2024-02-24,MEESHO *35139,-859.25,Shopping,Online,MEESHO,0,
1,student,2024-02-24,UPI/804364079569/VIJAY SALES/paytm,-52730.98,Shopping,Electronics,VIJAY SALES,1,unusual_high_value
1,student,2024-02-25,ACH D- UBER-631981,-104.38,Transport,Rideshare,UBER,0,
1,student,2024-02-27,DELHI METRO GURGAON,-86.88,Transport,Public,DELHI METRO,0,
1,student,2024-02-27,PIZZA HUT *31908,-215.7,Food & Dining,Delivery,PIZZA HUT,0,
1,student,2024-02-27,POS 6992XXXXXX2479 PIZZA HUT GURGAON,-256.73,Food & Dining,Delivery,PIZZA HUT,0,
1,student,2024-02-28,UPI/090189072630/MCDONALDS/oksbi,-195.79,Food & Dining,Restaurant,MCDONALDS,0,
1,student,2024-03-02,BLUE TOKAI PUNE,-139.45,Food & Dining,Cafe,BLUE TOKAI,0,
1,student,2024-03-02,POS 8642XXXXXX3007 HALDIRAMS PUNE,-165.49,Food & Dining,Restaurant,HALDIRAMS,0,
1,student,2024-03-02,UPI/850939577301/BOOKMYSHOW/oksbi,-551.31,Entertainment,Movies,BOOKMYSHOW,0,
1,student,2024-03-03,BURGER KING 027833,-335.99,Food & Dining,Restaurant,BURGER KING,0,
1,student,2024-03-03,CHATGPT PLUS *74827,-199.76,Subscriptions,Software,CHATGPT PLUS,0,
