date,description,amount
2024-01-01,SAGAR RATNA CHENNAI,-556.50
2024-01-02,UPI/747350500592/BHARAT PETROLEUM/okhdfc,-140.69
2024-01-03,ALLOWANCE FROM PARENTS PUNE,14808.54
2024-01-03,UDEMY 752311,-1527.67
2024-01-04,POS 7524XXXXXX5725 RAPIDO MUMBAI,-113.73
2024-01-06,UPI-NETMEDS-980158403408@icici,-570.42
2024-01-07,POS 1349XXXXXX1329 IRCTC CHENNAI,-54.55
2024-01-07,UPI-BLUSMART-179445013329@ybl,-154.31
2024-01-10,ACH D- PVR CINEMAS-534910,-775.15
2024-01-10,BLUSMART MUMBAI,-137.11
2024-01-11,ACH D- DOMINOS PIZZA-944972,-248.03
2024-01-11,ACH D- PVR CINEMAS-534910,-775.15
2024-01-11,POS 2919XXXXXX9757 CAFE COFFEE DAY BANGALORE,-120.93
2024-01-12,DREAM11 361355,-489.26
2024-01-12,POS 2919XXXXXX9757 CAFE COFFEE DAY BANGALORE,-120.93
2024-01-12,SHARMA KIRANA *82216,-216.29
2024-01-13,ACH D- THIRD WAVE COFFEE-204730,-162.81
2024-01-13,POS 1012XXXXXX9709 BURGER KING NOIDA,-181.34
2024-01-13,UPI-BLUE TOKAI-336726690@axl,-485.37
2024-01-17,FRESH VEGETABLES MART *89234,-205.20
2024-01-17,NAMMA METRO BANGALORE,-68.86
2024-01-17,OLA CABS *50996,-218.95
2024-01-18,UPI/655631172/RAPIDO/paytm,-147.93
2024-01-18,UPI/745424236/COMEDY CLUB TICKETS/ybl,-239.72
2024-01-19,AMAZON PRIME CHENNAI,-227.39
2024-01-19,UPI-BMTC BUS PASS-050992895@ybl,-167.66
2024-01-19,UPI/684436076527/BURGER KING/ybl,-292.54
2024-01-21,ACH D- EATSURE-582277,-521.49
2024-01-21,HALDIRAMS *67989,-218.91
2024-01-21,PLAYSTATION 442755,-201.45
2024-01-23,BOX8 *39202,-179.07
2024-01-23,POS 8326XXXXXX4601 BLINKIT MUMBAI,-822.08
2024-01-25,UPI/271917360/RELIANCE DIGITAL/okhdfc,-505.18
2024-01-27,THIRD WAVE COFFEE GURGAON,-293.78
2024-01-28,BHARAT GA 521755,-749.65
2024-01-28,MUMBAI LOCAL PASS MUMBAI,-98.24
2024-01-29,GUPTA PROVISION STORE *25629,-532.73
2024-01-29,UPI/810535933/THIRD WAVE COFFEE/okhdfc,-281.79
2024-01-30,UPI-THIRD WAVE COFFEE-138358840@ybl,-411.77
2024-01-31,POS 2299XXXXXX1759 BOX8 NOIDA,-280.95
2024-02-04,ALLOWANCE FROM PARENTS MUMBAI,14940.87
2024-02-04,POS 3774XXXXXX6757 SHELL FUEL NOIDA,-79.12
2024-02-04,POS 7457XXXXXX8386 SWIGGY INSTAMART PUNE,-200.22
2024-02-06,ACH D- BSES RAJDHANI-958818,-397.15
2024-02-06,BIGBASKET GURGAON,-387.46
2024-02-06,BMTC BUS PASS *52222,-107.60
2024-02-06,UPI-BMTC BUS PASS-206198060@ybl,-72.91
2024-02-06,UPI/987893759/HALDIRAMS/okhdfc,-533.70
2024-02-07,BOOKMYSHOW 641221,-324.14
2024-02-07,COLLEGE FEE PAYMENT *83416,-1666.39
2024-02-08,UPI-SPOTIFY-695465973@icici,-227.22
2024-02-09,CAFE COFFEE DAY *13327,-350.12
2024-02-09,DOMINOS PIZZA *61246,-531.65
2024-02-11,PIZZA HUT DELHI,-293.46
2024-02-11,POS 1482XXXXXX9365 STEAM GAMES PUNE,-448.46
2024-02-13,HP PETROL PUMP *57755,-63.07
2024-02-16,SONYLIV *04906,-285.02
2024-02-16,UPI-STARBUCKS-506121170@axl,-137.21
2024-02-17,POS 1639XXXXXX2917 NETMEDS CHENNAI,-421.71
2024-02-17,UPI-PIZZA HUT-178874587322@axl,-260.66
2024-02-19,ACH D- PLAYSTATION STORE-404401,-279.74
2024-02-20,POS 3049XXXXXX1225 SHELL FUEL MUMBAI,-189.37
2024-02-20,RAPIDO 997994,-157.13
2024-02-21,BURGER KING *64049,-391.02
2024-02-21,POS 7599XXXXXX6779 CAFE COFFEE DAY NOIDA,-96.05
2024-02-25,UPI-CAFE COFFEE DAY-834546926@ybl,-201.45
2024-02-26,UPI-STARBUCKS-079890146@icici,-369.36
2024-02-27,CROMA 151795,-652.60
2024-02-27,UPI-DMART-763617343972@axl,-271.96
