date,description,amount
2024-01-01,ACH D- MUMBAI LOCAL PASS-516523,-119.66
2024-01-01,BWSSB WATER GURGAON,-1434.57
2024-01-01,MUMBAI LOCAL PASS *20740,-113.63
2024-01-01,SALARY CREDIT PUNE,55754.62
2024-01-02,RAPIDO 667852,-224.05
2024-01-02,UBER GURGAON,-138.96
2024-01-02,UPI-MORE SUPERMARKET-383686111@axl,-1001.08
2024-01-03,POS 4346XXXXXX5036 LIFESTYLE STORES HYDERABAD,-3373.57
2024-01-04,MANIPAL 667861,-824.11
2024-01-04,POS 3179XXXXXX6283 CHAAYOS NOIDA,-481.49
2024-01-05,POS 7245XXXXXX3973 LIFESTYLE STORES DELHI,-1937.55
2024-01-05,UBER 274829,-225.86
2024-01-05,UPI/878445891563/CHAAYOS/ybl,-468.60
2024-01-06,BMTC BUS P 246102,-105.32
2024-01-07,CAFE COFFEE DAY *88076,-375.62
2024-01-07,STARBUCKS 178663,-427.69
2024-01-07,UPI/682798510188/MORE SUPERMARKET/ybl,-873.76
2024-01-08,HP PETROL PUMP NOIDA,-214.06
2024-01-08,POS 4583XXXXXX5883 SONYLIV PUNE,-389.07
2024-01-08,ZEPTO 099191,-689.74
2024-01-09,ACH D- BHARAT GAS-175345,-644.90
2024-01-09,ACH D- HOTSTAR-704498,-284.93
2024-01-09,BLUSMART PUNE,-119.58
2024-01-09,CAFE COFFEE DAY *02326,-688.16
2024-01-10,STEAM GAMES DELHI,-547.25
2024-01-10,UPI-RELIANCE DIGITAL-255487599@axl,-1406.46
2024-01-11,UPI-ICLOUD-621582785911@axl,-214.92
2024-01-11,UPI/742320052042/KFC/okhdfc,-486.04
2024-01-13,UPI-BOX8-169128018@ybl,-164.82
2024-01-14,URBAN COMPANY PUNE,-21973.79
2024-01-15,UPI/803077301040/OLA CABS/oksbi,-261.65
2024-01-15,UPI/816687158/H&M/paytm,-2844.41
2024-01-16,TATA POWER PUNE,-893.40
2024-01-17,UBER *12686,-171.81
2024-01-18,POS 5316XXXXXX4523 JIOMART MUMBAI,-1537.16
2024-01-18,UPI/879159475726/BARBEQUE NATION/paytm,-203.25
2024-01-19,ACH D- OLA CABS-923871,-127.53
2024-01-19,UPI/138788281743/BMTC BUS PASS/ybl,-99.92
2024-01-20,JIOMAR 221438,-1737.48
2024-01-20,UPI-SHELL FUEL-528178350775@axl,-216.54
2024-01-23,OLA CABS MUMBAI,-166.27
2024-01-24,CULT FIT *26483,-584.00
2024-01-24,POS 1645XXXXXX1292 BMTC BUS PASS NOIDA,-163.53
2024-01-24,STARBUCKS *50906,-251.78
2024-01-24,UPI/663991240/THIRD WAVE COFFEE/oksbi,-408.10
2024-01-25,ACH D- BIG BAZAAR-103987,-485.65
2024-01-25,SWIGGY INSTAMART *08682,-1411.99
2024-01-25,UPI-CHAAYOS-523983236484@icici,-760.84
2024-01-26,STARBUCKS *28015,-512.56
2024-01-28,SHELL FUEL *13274,-190.21
2024-01-28,UPI/075379826861/RELIANCE DIGITAL/oksbi,-730.85
2024-01-28,UPI/423066550/BARBEQUE NATION/ybl,-569.02
2024-01-29,BMTC BUS PASS HYDERABAD,-755.46
2024-01-29,BOX8 *02071,-413.47
2024-01-29,POS 8458XXXXXX3146 INOX NOIDA,-756.05
2024-01-29,UPI-APOLLO PHARMACY-232338778@axl,-52814.93
2024-01-29,UPI/132699438035/JIOMART/okhdfc,-1027.94
2024-01-30,ACH D- ZOMATO-663245,-518.86
2024-01-30,MILK DAIRY BOOTH DELHI,-552.21
2024-01-31,SWIGGY 089482,-494.47
2024-02-01,BMTC BU 601196,-262.90
2024-02-01,POS 8803XXXXXX2371 JIOMART PUNE,-494.98
2024-02-02,KFC 082479,-202.93
2024-02-03,CAFE COFFEE DAY NOIDA,-647.30
2024-02-03,INDIGO AIRLINE 790265,-74452.61
2024-02-03,POS 5957XXXXXX8894 INDIAN OIL PETROL HYDERABAD,-158.62
2024-02-03,UPI-INDIAN OIL PETROL-366303154689@ybl,-214.88
2024-02-03,UPI/837285010/JIO PREPAID/oksbi,-546.49
2024-02-03,UPI/984774252/SHELL FUEL/oksbi,-279.99
2024-02-04,SALARY CREDIT DELHI,55065.83
2024-02-04,UBER *89108,-202.41
2024-02-05,POS 3449XXXXXX3225 ACT FIBERNET PUNE,-815.50
2024-02-05,SPOTIFY GURGAON,-264.70
2024-02-05,UPI-NOBROKER RENT-895524573@ybl,-19196.32
2024-02-06,BHARAT 921258,-413.11
2024-02-06,POS 9590XXXXXX1687 CAFE COFFEE DAY GURGAON,-455.77
2024-02-06,UPI/280916301901/NETFLIX/ybl,-138.58
2024-02-06,UPI/602170213035/LAL PATHLABS/ybl,-262.67
2024-02-07,POS 7267XXXXXX5387 INDIAN OIL PETROL BANGALORE,-518.53
2024-02-08,ACH D- STARBUCKS-264230,-588.74
2024-02-08,BOX8 *81237,-346.36
2024-02-09,POS 2591XXXXXX7400 MUMBAI LOCAL PASS MUMBAI,-68.16
2024-02-09,UPI/098911592287/BWSSB WATER/ybl,-879.53
2024-02-11,ACH D- UBER-784670,-222.16
2024-02-11,MILK DAIRY BOOTH *33227,-735.55
2024-02-11,OLA CABS BANGALORE,-225.02
2024-02-11,SWIGGY INSTAMART *76544,-719.50
2024-02-11,UPI-KFC-077317211@axl,-1198.33
2024-02-12,ACH D- BOX8-689635,-351.75
2024-02-12,BHARAT PETROLEUM MUMBAI,-153.76
2024-02-12,UPI-BOX8-031485294755@icici,-190.77
2024-02-12,UPI/114077407191/UBER/paytm,-152.37
2024-02-13,NYKAA PUNE,-2902.24
2024-02-13,STARBUC 763521,-407.96
2024-02-14,ACH D- COMEDY CLUB TICKETS-364240,-632.02
2024-02-14,SHARMA KI 623667,-2080.40
2024-02-15,UPI-MORE SUPERMARKET-358481440@icici,-854.59
2024-02-16,UPI/476768036/SONYLIV/paytm,-434.99
2024-02-17,ACH D- PHARMEASY-208192,-920.70
2024-02-17,BHARAT G 213295,-397.36
2024-02-17,PHARMEASY *06785,-997.75
2024-02-17,PHARMEASY *53235,-1000.40
2024-02-17,PHARMEASY HYDERABAD,-1081.35
2024-02-17,POS 6580XXXXXX8068 PHARMEASY DELHI,-1065.41
2024-02-17,UPI-CHAAYOS-601542206067@ybl,-487.44
2024-02-17,UPI-PHARMEASY-506598574642@axl,-898.69
2024-02-17,UPI/598187244/PHARMEASY/okhdfc,-794.52
2024-02-18,DELHI METRO NOIDA,-129.93
2024-02-19,ACH D- OLA CABS-364931,-145.92
2024-02-19,DELHI METRO PUNE,-265.34
2024-02-19,POS 5588XXXXXX7819 MYNTRA NOIDA,-1371.39
2024-02-20,SWIGGY INSTAMART *42985,-1491.23
2024-02-21,POS 3868XXXXXX7873 SHARMA KIRANA CHENNAI,-559.54
2024-02-22,ACH D- BIG BAZAAR-266379,-3795.60
2024-02-22,BIG BAZ 705881,-2869.01
2024-02-22,BIG BAZA 264327,-3929.08
2024-02-22,BIG BAZAAR CHENNAI,-1886.95
2024-02-22,BIG BAZAAR DELHI,-3567.81
2024-02-22,POS 3340XXXXXX7644 BIG BAZAAR GURGAON,-3207.55
2024-02-22,POS 6004XXXXXX4067 BIG BAZAAR MUMBAI,-2627.94
2024-02-22,THIRD WAVE COFFEE CHENNAI,-473.23
2024-02-22,UPI/152361426/BIG BAZAAR/okhdfc,-1772.11
2024-02-23,EATSURE *97457,-498.83
2024-02-23,HOTSTA 027838,-284.81
2024-02-23,UPI/887002861/SWIGGY/paytm,-700.57
2024-02-23,UPI/919277915/SHELL FUEL/okhdfc,-83.97
2024-02-24,ACH D- NETFLIX-265989,-158.40
2024-02-24,FRESH VEGETA 552765,-816.62
2024-02-24,INDIAN OIL PETROL *89798,-79.90
2024-02-25,HALDIRAMS *93863,-293.53
2024-02-26,UPI/448341612066/STARBUCKS/okhdfc,-305.79
2024-02-28,EATSURE *42133,-385.37
2024-02-29,PAYTM INS 803814,-858.58
2024-02-29,POS 6963XXXXXX2044 SHELL FUEL NOIDA,-188.97
2024-02-29,UPI-BARBEQUE NATION-838055522041@axl,-484.51
2024-03-01,ACH D- BHARAT GAS-646382,-3700.02
2024-03-01,SALARY CREDIT DELHI,55105.05
2024-03-02,ACH D- MYNTRA-430286,-1470.83
2024-03-04,ACH D- RELIANCE DIGITAL-949257,-1470.50
2024-03-04,UPI-OLA CABS-221994992@ybl,-133.43
2024-03-05,ACH D- BLUSMART-441145,-148.60
2024-03-05,ACH D- EATSURE-806165,-385.88
2024-03-05,UPI-INOX-004695094851@axl,-474.72
2024-03-06,NETMED 930943,-814.66
2024-03-06,SPOTIFY *54849,-279.64
2024-03-07,BLUSMART *63844,-131.47
2024-03-07,POS 7414XXXXXX3772 BLUSMART CHENNAI,-101.84
2024-03-08,BWSSB WATER DELHI,-1008.81
2024-03-08,UPI-BOOKMYSHOW-440190272621@ybl,-587.77
2024-03-08,UPI/523009792572/INDIAN OIL PETROL/okhdfc,-246.65
2024-03-09,POS 6506XXXXXX3935 ADANI ELECTRICITY MUMBAI,-800.41
2024-03-09,PVR CINEMA 492749,-785.56
2024-03-10,ACH D- CHAAYOS-151158,-878.24
2024-03-10,BLUE TOKAI DELHI,-416.53
2024-03-10,IRCTC NOIDA,-205.94
2024-03-10,NAMMA METRO *12880,-239.34
2024-03-10,UPI-EATSURE-436608839@icici,-1030.53
2024-03-11,RELIANCE DIGITAL *03805,-2519.20
2024-03-11,STARBUCKS MUMBAI,-322.51
2024-03-11,UPI-PUNJABI DHABA-536201147908@icici,-119.72
2024-03-12,BARBEQU 662215,-456.84
2024-03-12,CAFE COFF 514704,-475.53
2024-03-13,BMTC BU 833152,-312.77
2024-03-13,POS 2639XXXXXX4334 EATSURE GURGAON,-497.76
2024-03-14,POS 4682XXXXXX9197 BHARAT PETROLEUM HYDERABAD,-135.38
2024-03-15,UPI/287158362808/UBER/ybl,-688.63
2024-03-16,POS 2753XXXXXX9137 UBER CHENNAI,-218.28
2024-03-17,UPI/366323324/MILK DAIRY BOOTH/paytm,-512.40
2024-03-17,UPI/905230175676/BURGER KING/ybl,-422.75
2024-03-19,ACH D- JIOMART-939621,-1103.19
2024-03-20,ACH D- SONYLIV-202579,-173.05
2024-03-20,POS 1107XXXXXX3334 OLA CABS MUMBAI,-170.50
2024-03-20,POS 1353XXXXXX9169 MAKEMYTRIP NOIDA,-7861.93
2024-03-20,UPI-GUPTA PROVISION STORE-420703959797@axl,-1316.77
2024-03-20,UPI-PAYTM INSIDER-153488273@icici,-1431.02
2024-03-22,HP PETROL PUMP MUMBAI,-129.23
2024-03-22,SHELL FUEL HYDERABAD,-137.66
2024-03-26,INDANE GAS *56321,-993.05
2024-03-26,THIRD WAVE COFF 265435,-587.35
2024-03-26,UPI-KFC-142252823@axl,-219.63
2024-03-26,UPI/289357577/NOBROKER RENT/okhdfc,-11971.94
2024-03-27,ACH D- SPENCERS-650884,-1744.58
2024-03-27,GUPTA PROVISION  668482,-1061.04
2024-03-27,GUPTA PROVISION STOR 539977,-1080.74
2024-03-27,GUPTA PROVISION STORE BANGALORE,-1247.07
2024-03-27,GUPTA PROVISION STORE NOIDA,-1412.16
2024-03-27,POS 6547XXXXXX6716 PUNJABI DHABA HYDERABAD,-525.02
2024-03-27,POS 9677XXXXXX8586 GUPTA PROVISION STORE BANGALORE,-1320.47
2024-03-27,UPI/607261249892/GUPTA PROVISION STORE/ybl,-1655.18
