date,description,amount
2024-01-01,GUPTA PROVIS 507102,-1826.14
2024-01-02,POS 6366XXXXXX6171 BLINKIT BANGALORE,-786.71
2024-01-04,SALARY CREDIT CHENNAI,110596.46
2024-01-05,ACH D- MCDONALDS-766876,-598.27
2024-01-05,ICLOUD 269673,-678.50
2024-01-05,PAYTM INSIDER BANGALORE,-2252.60
2024-01-05,SOCIETY MAINTENANCE *25376,-20652.04
2024-01-06,RAPIDO CHENNAI,-2182.31
2024-01-06,UPI/196473492/UBER/okhdfc,-1124.25
2024-01-07,MILK DAIRY BOOTH *27293,-886.80
2024-01-07,SPENCERS BANGALORE,-1558.41
2024-01-09,ACH D- JIO PREPAID-495981,-1583.26
2024-01-09,UBER *72733,-965.35
2024-01-09,UPI/989015218995/FRESH VEGETABLES MART/ybl,-682.53
2024-01-10,ACH D- PUNJABI DHABA-844930,-677.16
2024-01-10,POS 8661XXXXXX8989 SWIGGY MUMBAI,-498.05
2024-01-10,UBER NOIDA,-1117.03
2024-01-10,UPI-NETMEDS-533655122@icici,-709.18
2024-01-10,UPI-SWIGGY-106124049172@axl,-805.43
2024-01-10,UPI-ZOMATO-678417735@axl,-570.85
2024-01-10,UPI/761675737717/AIR INDIA/ybl,-7430.66
2024-01-10,UPI/761675737717/AIR INDIA/ybl,-7430.66
2024-01-11,BLUSMART *51546,-790.44
2024-01-11,EXAM FEE NTA *14137,-6753.96
2024-01-12,ACH D- FRESH VEGETABLES MART-135195,-2753.83
2024-01-12,BWSSB WATER HYDERABAD,-1220.41
2024-01-12,UPI/786094271/SHELL FUEL/oksbi,-1308.24
2024-01-14,INDANE GAS *81871,-2817.50
2024-01-14,UPI-UBER-708130639@icici,-1289.15
2024-01-14,UPI/742288907260/YOUTUBE PREMIUM/oksbi,-315.37
2024-01-15,CROMA GURGAON,-3784.89
2024-01-15,POS 6882XXXXXX3920 CROMA HYDERABAD,-2030.70
2024-01-15,POS 8046XXXXXX1894 IRCTC GURGAON,-549.40
2024-01-16,THIRD WAVE COF 511618,-393.95
2024-01-17,POS 7993XXXXXX4302 UBER NOIDA,-705.66
