date,description,amount
2024-01-01,POS 6757XXXXXX3595 NAMMA METRO DELHI,-63.23
2024-01-01,SALARY CREDIT HYDERABAD,61074.52
2024-01-04,POS 7830XXXXXX8774 GUPTA PROVISION STORE HYDERABAD,-520.06
2024-01-07,ACH D- OLA CABS-761251,-154.07
2024-01-07,PIZZA HUT *78428,-124.76
2024-01-08,UPI-SHELL FUEL-430958737903@ybl,-81.37
2024-01-11,BLUE TOKAI *46863,-271.82
2024-01-11,UPI-BLUSMART-309885950327@axl,-132.51
2024-01-12,BHARAT GAS CHENNAI,-1257.26
2024-01-12,BLUSMA 785813,-92.22
2024-01-13,POS 2707XXXXXX8337 OLA CABS GURGAON,-102.62
2024-01-14,UBER BANGALORE,-107.99
2024-01-16,UPI-MORE SUPERMARKET-783848116277@icici,-420.73
2024-01-17,BLUSMART *83555,-125.48
2024-01-19,ACH D- OLA CABS-508865,-81.80
2024-01-20,RAPIDO CHENNAI,-149.14
2024-01-21,THIRD WAVE COFFEE DELHI,-227.87
2024-01-23,POS 8671XXXXXX8834 NETMEDS GURGAON,-1012.90
2024-01-23,UPI/567211590/DELHI METRO/oksbi,-124.67
2024-01-25,IRCTC *76652,-98.19
2024-01-25,UPI/109414607/GUPTA PROVISION STORE/oksbi,-1574.22
2024-01-26,GOLDS G 807715,-871.43
2024-01-26,UPI-PUNJABI DHABA-416046650405@ybl,-296.75
2024-01-30,POS 8663XXXXXX3284 ZOMATO BANGALORE,-274.70
2024-01-31,POS 8377XXXXXX9507 BHARAT GAS MUMBAI,-1238.54
2024-02-01,GUPTA PROVISION STORE *47556,-1286.62
2024-02-01,SALARY CREDIT PUNE,61408.07
2024-02-01,UPI-DELHI METRO-634143128699@axl,-240.17
2024-02-02,POS 6063XXXXXX2710 PIZZA HUT GURGAON,-205.32
2024-02-02,POS 6678XXXXXX1458 NYKAA PUNE,-897.88
2024-02-03,ADANI ELECTRI 445405,-1412.12
2024-02-05,OLA CABS NOIDA,-94.79
2024-02-06,ACH D- BLUSMART-705822,-171.21
2024-02-06,TATA POWER *19953,-789.56
2024-02-07,BHARAT PETROL 389422,-186.57
2024-02-08,ACH D- NOBROKER RENT-504218,-6168.23
2024-02-09,BSES RAJDHANI DELHI,-882.04
2024-02-09,HP PETROL PUMP *44058,-120.22
2024-02-10,ACH D- CHAAYOS-799258,-210.47
2024-02-10,THIRD WAVE COFFEE *50314,-220.25
2024-02-11,ADANI ELECTRICITY *60880,-505.27
2024-02-12,POS 1610XXXXXX2672 NAMMA METRO DELHI,-149.02
2024-02-13,UPI-MORE SUPERMARKET-155710603@icici,-1562.11
2024-02-16,BESCOM 570799,-799.24
2024-02-16,UPI-BHARAT PETROLEUM-276140970113@axl,-89.12
2024-02-19,DMART 044533,-580.60
2024-02-21,ACH D- PUNJABI DHABA-365042,-288.74
2024-02-21,DMART PUNE,-558.15
2024-02-21,POS 3258XXXXXX6218 BLINKIT PUNE,-936.61
2024-02-21,UPI/080252707/SHELL FUEL/paytm,-146.72
2024-02-21,UPI/292907849/CAFE COFFEE DAY/okhdfc,-433.05
2024-02-23,MILK DAIRY BOOT 963893,-819.93
2024-02-24,HP PETROL PU 098795,-93.82
2024-02-25,POS 9284XXXXXX4336 BLINKIT BANGALORE,-567.34
2024-02-26,ACH D- CROMA-213561,-1866.13
2024-02-26,POS 1763XXXXXX5602 PUNJABI DHABA BANGALORE,-166.02
2024-02-29,POS 7213XXXXXX5369 DELHI METRO PUNE,-89.99
2024-02-29,UPI/962376070278/BIG BAZAAR/paytm,-560.92
