date,description,amount
2024-01-01,CAFE COFFEE DAY *37648,-2280.15
2024-01-01,UPI/229527231/DOMINOS PIZZA/ybl,-2107.82
2024-01-02,UPI-CHATGPT PLUS-013074729759@axl,-431.53
2024-01-02,UPI-KFC-098349730@ybl,-719.84
2024-01-03,DOMINOS  502976,-1530.45
2024-01-03,POS 7507XXXXXX9629 BOX8 CHENNAI,-886.69
2024-01-03,RELIANCE 242813,-1181.49
2024-01-04,ACH D- DOMINOS PIZZA-530226,-1248.93
2024-01-04,NAMMA METRO *39859,-2139.66
2024-01-04,OLA CABS NOIDA,-624.35
2024-01-04,SALARY CREDIT DELHI,178333.14
2024-01-04,UPI-HP PETROL PUMP-363551401037@ybl,-540.75
2024-01-05,EATSURE *21218,-2621.44
2024-01-05,UPI/402284443/MUMBAI LOCAL PASS/ybl,-307.24
2024-01-06,POS 9681XXXXXX7765 EATSURE DELHI,-474.68
2024-01-06,UPI-NAMMA METRO-016633985@icici,-463.05
2024-01-07,SOCIETY MAINTENANCE DELHI,-34975.88
2024-01-07,UPI-DOMINOS PIZZA-143500765186@axl,-864.10
2024-01-08,POS 5484XXXXXX9280 H&M GURGAON,-3516.30
2024-01-10,ACH D- BSES RAJDHANI-207658,-1037.14
2024-01-10,BIGBASKET *52468,-3598.13
2024-01-10,BOX8 757628,-1444.58
2024-01-11,POS 3452XXXXXX5108 KFC BANGALORE,-1893.69
2024-01-12,COMEDY CLUB TICKETS CHENNAI,-2139.37
2024-01-12,UPI-KFC-027818755581@ybl,-1292.14
2024-01-13,BHARAT GAS HYDERABAD,-1813.06
2024-01-13,POS 3240XXXXXX5624 SPOTIFY BANGALORE,-676.53
2024-01-13,UPI-LAL PATHLABS-851846713511@icici,-2180.73
2024-01-14,UPI/818209253/PUNJABI DHABA/okhdfc,-2021.94
2024-01-15,BHARAT GAS *63020,-1975.91
2024-01-16,NETMED 801557,-990.71
2024-01-17,COMEDY CLUB TICKETS NOIDA,-4432.34
2024-01-17,HOTSTAR GURGAON,-589.49
2024-01-17,JIO PREPAI 285325,-5226.07
2024-01-17,UPI-MCDONALDS-452638560259@icici,-882.92
2024-01-17,VIJAY SALES *95434,-3460.48
2024-01-19,UPI-MEDPLUS-229824968880@icici,-7243.52
2024-01-19,UPI/120057253487/PAYTM INSIDER/ybl,-1018.05
2024-01-20,ACH D- BESCOM-824838,-1774.38
2024-01-20,BMTC BUS PASS CHENNAI,-1560.99
2024-01-21,BOX8 *36296,-1224.01
2024-01-21,UPI-SPOTIFY-823330472@icici,-474.90
2024-01-22,ACH D- H&M-248413,-1821.73
2024-01-22,POS 1456XXXXXX6907 JIOMART MUMBAI,-2578.99
2024-01-23,ACH D- BHARAT PETROLEUM-361377,-382.31
2024-01-23,ACH D- SWIGGY-643529,-1150.57
2024-01-23,MCDONALDS 364999,-1840.56
2024-01-23,POS 8196XXXXXX9057 BIGBASKET NOIDA,-3467.59
2024-01-23,UPI-CAFE COFFEE DAY-095927166357@axl,-644.82
2024-01-24,DOMINOS PIZZA *26747,-1154.83
2024-01-24,UPI/565106936/RAPIDO/ybl,-641.66
2024-01-25,ACH D- AIRBNB-750732,-24229.04
2024-01-26,BLUSMART DELHI,-392.61
2024-01-26,UPI/420917762048/FLIPKART/okhdfc,-4850.37
2024-01-27,POS 9918XXXXXX6853 CHAAYOS CHENNAI,-1207.32
2024-01-27,UPI-MICROSOFT 365-929363089182@ybl,-644.96
2024-01-27,YOUTUBE PREMIUM CHENNAI,-472.23
2024-01-28,ACH D- DREAM11-409023,-1300.42
2024-01-28,UPI-HP PETROL PUMP-182963737744@axl,-918.26
2024-01-29,UPI-NAMMA METRO-134519911947@icici,-737.37
2024-01-30,INDIAN OIL PETROL MUMBAI,-374.78
2024-01-30,MCDONA 953386,-920.12
2024-01-30,UPI-RAPIDO-506265871@axl,-232.34
2024-01-31,STEAM GAM 726405,-1266.99
2024-01-31,UPI-DELHI METRO-189907008@axl,-331.92
2024-02-01,ACH D- BOX8-754887,-1534.44
2024-02-01,BOX8 *20946,-1224.57
2024-02-01,BWSSB WATE 514641,-2282.08
2024-02-01,SALARY CREDIT PUNE,185198.17
2024-02-01,UPI-STARBUCKS-602112406484@axl,-591.46
2024-02-01,UPI-SWIGGY INSTAMART-313884736@axl,-1856.30
2024-02-02,UPI-HP PETROL PUMP-550564978143@ybl,-420.13
2024-02-03,POS 2797XXXXXX7517 EATSURE HYDERABAD,-814.94
2024-02-04,BOOKMYSHO 679965,-2493.63
2024-02-04,POS 4513XXXXXX3197 INOX MUMBAI,-3148.41
2024-02-04,POS 5481XXXXXX6077 BHARAT PETROLEUM DELHI,-829.96
2024-02-04,UPI-DELHI METRO-463660423908@axl,-976.99
2024-02-04,UPI-RENT TRANSFER LANDLORD-972205495526@icici,-24475.42
2024-02-04,UPI/264657891329/DELHI METRO/oksbi,-671.72
2024-02-05,ACH D- MCDONALDS-443984,-1852.27
2024-02-05,ACH D- MCDONALDS-540410,-1858.18
2024-02-05,POS 9726XXXXXX7767 AMAZON PRIME MUMBAI,-724.44
2024-02-05,UPI-IRCTC-773177953@axl,-421.08
2024-02-06,UPI-DOMINOS PIZZA-155689818092@ybl,-997.53
2024-02-06,UPI-DOMINOS PIZZA-155689818092@ybl,-997.53
2024-02-06,UPI/044545539/BMTC BUS PASS/oksbi,-991.69
2024-02-06,UPI/762411793253/FORTIS HOSPITAL/paytm,-2603.51
2024-02-07,POS 8251XXXXXX9059 CAFE COFFEE DAY GURGAON,-1898.18
2024-02-08,POS 3309XXXXXX5239 MCDONALDS GURGAON,-498.57
2024-02-08,UPI-BOOKMYSHOW-519729472@axl,-1626.21
2024-02-09,BLUSMAR 383175,-259.03
2024-02-11,BLUSMA 959180,-523.48
2024-02-11,UPI-RELIANCE FRESH-936610366@icici,-1267.65
2024-02-11,UPI-UBER-167192309@axl,-475.57
2024-02-12,SHARMA KIRANA HYDERABAD,-1081.34
2024-02-13,ACH D- PLAYSTATION STORE-132098,-2089.88
2024-02-13,ACH D- PLAYSTATION STORE-553431,-3398.14
2024-02-13,ACH D- UBER-431876,-256.45
2024-02-13,MORE SUPERMARKE 183141,-2740.76
2024-02-13,PLAYSTATION STORE NOIDA,-2729.54
2024-02-13,UPI/074922603876/PLAYSTATION STORE/paytm,-2385.04
2024-02-13,UPI/663670498015/PLAYSTATION STORE/okhdfc,-3637.19
2024-02-13,UPI/672619092792/PLAYSTATION STORE/oksbi,-2706.81
2024-02-13,ZARA MUMBAI,-2760.64
2024-02-14,AJIO *38855,-4609.07
2024-02-16,ACH D- APOLLO PHARMACY-819417,-2190.82
2024-02-16,PANTALOONS CHENNAI,-5247.17
2024-02-17,INDIAN OIL PETROL PUNE,-533.12
2024-02-17,UPI-KFC-693540624908@ybl,-1843.18
2024-02-17,UPI/778557517/CHATGPT PLUS/okhdfc,-560.23
2024-02-18,ACH D- BHARAT GAS-908520,-2561.07
2024-02-18,MUMBAI LOCAL PASS HYDERABAD,-452.33
2024-02-18,YOUTUBE PREMIUM MUMBAI,-784.32
2024-02-19,CAFE COFFEE DAY *71160,-631.20
2024-02-20,POS 6851XXXXXX2787 INDIAN OIL PETROL NOIDA,-1100.73
2024-02-21,ACH D- INOX-188426,-2230.33
2024-02-21,ACH D- SOCIETY MAINTENANCE-869230,-24106.42
2024-02-21,POS 1246XXXXXX4465 STEAM GAMES DELHI,-1793.45
2024-02-21,UPI-BLINKIT-191656358575@icici,-2393.84
2024-02-22,GOOGLE ONE NOIDA,-570.35
2024-02-22,TATA POWER *28406,-1595.30
2024-02-23,POS 3925XXXXXX3636 CHAAYOS HYDERABAD,-1346.40
2024-02-23,POS 8328XXXXXX3160 STARBUCKS PUNE,-818.56
2024-02-23,PUNJABI DHABA PUNE,-740.66
2024-02-24,ACH D- CAFE COFFEE DAY-718175,-779.21
2024-02-25,MCDONALDS *98371,-1032.24
2024-02-26,APOLLO PHARMA 957506,-4321.59
2024-02-26,CHATGPT PLUS DELHI,-624.09
2024-02-26,FLIPKART DELHI,-5453.99
2024-02-26,KFC HYDERABAD,-735.93
2024-02-26,POS 9826XXXXXX2496 CHAAYOS HYDERABAD,-802.64
2024-02-27,ACH D- EATSURE-643013,-358.40
2024-02-27,OLA CABS *34909,-555.06
2024-02-28,H&M MUMBAI,-2467.45
2024-03-01,POS 3427XXXXXX5550 DOMINOS PIZZA DELHI,-1758.42
2024-03-02,KFC 080325,-994.94
2024-03-02,SALARY CREDIT HYDERABAD,181163.89
2024-03-02,UBER 007984,-1027.04
2024-03-03,ACH D- BLUSMART-194540,-569.81
2024-03-03,UPI/426591670/STARBUCKS/okhdfc,-760.56
2024-03-06,ACH D- PVR CINEMAS-563169,-2191.05
2024-03-06,NAMMA METRO *27368,-739.56
2024-03-06,SPOTIF 606254,-373.28
2024-03-07,ICLOUD BANGALORE,-1064.52
2024-03-07,POS 9718XXXXXX7780 PIZZA HUT BANGALORE,-493.66
2024-03-07,UPI/427233335/PUNJABI DHABA/ybl,-801.27
2024-03-08,POS 3353XXXXXX2209 URBAN COMPANY BANGALORE,-39605.01
2024-03-09,NYKAA MUMBAI,-8955.40
2024-03-09,POS 9241XXXXXX3818 STARBUCKS HYDERABAD,-1407.01
2024-03-09,UPI-APPLE STORE-945959660@icici,-3554.44
2024-03-10,ACH D- AMAZON PRIME-952674,-302.77
2024-03-11,MUMBAI LOCAL  112576,-424.58
2024-03-11,POS 5044XXXXXX7678 CAFE COFFEE DAY HYDERABAD,-575.68
2024-03-11,UPI/428825696/STARBUCKS/paytm,-895.93
2024-03-12,ACH D- BHARAT PETROLEUM-512122,-630.69
2024-03-12,BLUE TOKAI *15057,-1196.31
2024-03-12,BLUSMART 255047,-589.03
2024-03-12,BMTC BUS PASS *76919,-840.27
2024-03-12,KFC 691639,-293.06
2024-03-12,RAPIDO MUMBAI,-1142.27
2024-03-12,UPI/966136621096/CHAAYOS/paytm,-2055.85
2024-03-14,POS 7725XXXXXX2298 HP PETROL PUMP BANGALORE,-669.61
2024-03-14,UPI/856510347886/BOX8/oksbi,-940.62
2024-03-17,BOX8 HYDERABAD,-1267.62
2024-03-17,POS 8988XXXXXX3029 INOX DELHI,-2806.28
2024-03-18,BARBEQUE NATION BANGALORE,-524.60
2024-03-18,HALDIRAMS MUMBAI,-624.35
2024-03-18,ZOMATO 440173,-716.26
