date,description,amount
2024-01-01,ACH D- OYO ROOMS-334206,-6272.02
2024-01-01,HALDIRAMS *46865,-531.12
2024-01-01,POS 2486XXXXXX6568 MYNTRA CHENNAI,-1803.40
2024-01-01,UPI-GOLDS GYM-752209627937@axl,-628.07
2024-01-03,ACH D- PUNJABI DHABA-283849,-788.85
2024-01-03,BIG BAZAAR *29438,-836.51
2024-01-03,CLIENT PAYMENT NEFT BANGALORE,13244.24
2024-01-04,BLUE TOKAI *15748,-366.06
2024-01-04,BWSSB WATER NOIDA,-1137.85
2024-01-04,JIO PREPAID *89544,-1301.53
2024-01-04,KFC *71407,-720.23
2024-01-05,NOBROKER RENT GURGAON,-6894.10
2024-01-05,UPI-CAFE COFFEE DAY-595754044603@ybl,-637.58
2024-01-06,MILK DAIRY BO 517035,-552.45
2024-01-06,SAGAR R 716580,-638.68
2024-01-07,SPOTIFY 591759,-968.42
2024-01-08,DMART *92268,-616.89
2024-01-09,AMAZON  916714,-429.34
2024-01-09,UPI/622953634203/SPOTIFY/ybl,-533.98
2024-01-11,CLIENT PAYMENT NEFT HYDERABAD,24497.67
2024-01-11,MCDONALDS PUNE,-343.54
2024-01-11,POS 6143XXXXXX9063 INDIAN OIL PETROL GURGAON,-172.71
2024-01-12,UPI/748925896/ZOMATO/okhdfc,-342.73
2024-01-12,ZEPTO 725479,-772.39
2024-01-14,ACH D- OLA CABS-181083,-400.39
2024-01-14,SWIGGY INSTAMART *61465,-1167.45
2024-01-15,CAFE COFFEE D 851812,-212.06
2024-01-15,KFC CHENNAI,-228.15
2024-01-16,BHARAT PETROLEUM HYDERABAD,-252.99
2024-01-16,DELHI METRO *12263,-191.98
2024-01-16,UPI-SPENCERS-176591085@ybl,-778.91
2024-01-16,UPI/349689177/SHELL FUEL/ybl,-298.76
2024-01-17,SWIGGY 343882,-274.71
2024-01-19,POS 8421XXXXXX8066 GOOGLE ONE GURGAON,-640.98
2024-01-19,UDEMY BANGALORE,-3316.69
2024-01-19,UPI-SAGAR RATNA-383872546675@icici,-124.16
2024-01-21,CLIENT PAYMENT NEFT DELHI,23159.99
2024-01-21,POS 7570XXXXXX5892 HOTSTAR DELHI,-373.35
2024-01-22,POS 6878XXXXXX6165 DMART GURGAON,-824.74
2024-01-22,UPI/534490322261/BOOKS PUBLISHER/okhdfc,-4267.25
2024-01-23,ACH D- BLUSMART-868916,-456.73
2024-01-23,AMAZON PRI 089518,-399.73
2024-01-23,PIZZA HUT HYDERABAD,-206.18
2024-01-24,DOMINOS PIZZA *05688,-275.24
2024-01-27,POS 3576XXXXXX5803 INDANE GAS MUMBAI,-2056.85
2024-01-30,UPI-KFC-825709540411@icici,-350.51
2024-01-31,ACH D- DOMINOS PIZZA-122140,-878.72
2024-02-01,RAPIDO 636724,-543.65
2024-02-02,UPI/524379707448/MICROSOFT 365/oksbi,-257.59
2024-02-03,CLIENT PAYMENT NEFT CHENNAI,12427.76
2024-02-03,MYNTRA *05051,-1753.92
2024-02-03,ZOMATO 112168,-310.88
2024-02-04,CHATGPT PLUS *34927,-352.34
2024-02-05,ACH D- DOMINOS PIZZA-974112,-676.79
2024-02-05,DECATHLON 890410,-1881.44
2024-02-05,NETFLIX *74821,-389.89
2024-02-07,YOUTUBE PREMIUM 940211,-742.76
2024-02-08,POS 5286XXXXXX4001 ZOMATO MUMBAI,-319.96
2024-02-08,POS 9807XXXXXX1248 FRESH VEGETABLES MART CHENNAI,-565.82
2024-02-08,UPI/927066599443/ICLOUD/oksbi,-730.44
2024-02-09,UPI-MICROSOFT 365-983116059442@icici,-706.80
2024-02-09,ZOMATO 047397,-659.63
2024-02-10,ACH D- SAGAR RATNA-132000,-254.73
2024-02-10,UPI-CHATGPT PLUS-781831441@icici,-341.57
2024-02-10,UPI/330087575781/CAFE COFFEE DAY/paytm,-337.62
2024-02-12,BHARAT  883326,-1907.50
2024-02-12,SWIGGY INSTAMART *20778,-1400.38
2024-02-13,CLIENT PAYMENT NEFT NOIDA,31612.11
2024-02-13,UPI-BLUE TOKAI-594887508@axl,-141.99
2024-02-13,UPI-INDIAN OIL PETROL-697492788@icici,-497.14
2024-02-13,ZOMATO *04645,-330.92
2024-02-14,GOOGLE ONE GURGAON,-397.99
2024-02-14,SOCIETY MAINTEN 468617,-14319.03
2024-02-14,UPI-JIOMART-027143321627@icici,-836.18
2024-02-14,UPI-RELIANCE DIGITAL-627585258@icici,-1256.33
2024-02-15,JIOMART *49583,-576.23
2024-02-17,ACH D- THIRD WAVE COFFEE-494527,-306.57
2024-02-19,AJIO *58005,-928.31
2024-02-19,BLUE TO 140887,-384.75
2024-02-19,CLIENT PAYMENT NEFT NOIDA,24112.12
2024-02-19,MAKEMYTRIP *25669,-8168.08
2024-02-19,UPI/095073232922/ZEPTO/okhdfc,-994.84
2024-02-21,RAPIDO *48134,-263.44
2024-02-21,UPI-PUNJABI DHABA-153058441@axl,-357.21
2024-02-22,POS 5390XXXXXX8860 PIZZA HUT NOIDA,-241.42
2024-02-22,PUNJABI 227552,-347.10
2024-02-23,ACH D- IRCTC-312960,-146.96
2024-02-23,FRESH VEGETABLES MART 134108,-437.00
2024-02-23,POS 3834XXXXXX8299 OLA CABS NOIDA,-279.31
2024-02-23,UPI/733001822312/RAPIDO/paytm,-168.94
2024-02-24,ACH D- UNACADEMY-405993,-3093.13
2024-02-25,THIRD WAVE CO 376495,-191.51
2024-02-25,UPI/237165791208/NETFLIX/ybl,-344.69
2024-02-26,UPI-STARBUCKS-004372814309@icici,-213.54
2024-03-02,BWSSB WATE 186176,-1720.07
2024-03-02,POS 2770XXXXXX8037 BIGBASKET CHENNAI,-1619.95
2024-03-02,UPI-BHARAT PETROLEUM-983313323@ybl,-160.43
2024-03-03,ACH D- MANIPAL HOSPITAL-476984,-264.65
2024-03-04,CLIENT PAYMENT NEFT MUMBAI,19845.95
2024-03-04,SWIGGY 605188,-687.45
2024-03-05,GOOGLE ONE 414977,-462.44
2024-03-06,AMAZON PRIME *91111,-951.72
2024-03-06,VIJAY SALES 979142,-2065.84
2024-03-07,ACH D- SPOTIFY-216027,-889.56
2024-03-07,RAPIDO *38152,-292.37
2024-03-07,UPI/979947747/BIGBASKET/oksbi,-1042.96
2024-03-08,ACH D- BOOKING.COM-716336,-4154.25
2024-03-09,BOOKS PUBLISHER *53921,-2119.79
2024-03-11,PUNJABI DHABA DELHI,-416.50
2024-03-12,UPI-DOMINOS PIZZA-493984329440@icici,-307.49
2024-03-13,CLIENT PAYMENT NEFT GURGAON,18540.29
2024-03-14,H&M 019053,-2326.26
2024-03-16,ACH D- ZEPTO-169355,-889.54
2024-03-16,UPI-BHARAT PETROLEUM-834166965@axl,-180.18
2024-03-16,UPI/440811393/ADANI ELECTRICITY/paytm,-1366.67
2024-03-17,CAFE C 360654,-489.95
2024-03-17,CAFE C 360654,-489.95
2024-03-17,POS 1881XXXXXX9299 VIJAY SALES CHENNAI,-2337.24
2024-03-17,UPI/052298541/ZOMATO/oksbi,-299.70
2024-03-18,BIG BAZAAR *28837,-722.14
2024-03-18,CAFE COFFEE DAY *43899,-365.62
2024-03-18,ICLOUD *04550,-320.67
2024-03-18,SAGAR R 087122,-159.27
2024-03-18,UPI/003325210/SWIGGY/okhdfc,-285.97
2024-03-19,ACH D- WESTSIDE-149372,-2319.92
2024-03-19,BMTC BUS PASS *18012,-250.54
2024-03-19,UPI-BMTC BUS PASS-971876605@ybl,-182.60
2024-03-20,POS 5041XXXXXX2833 AMAZON PRIME MUMBAI,-758.39
2024-03-20,STARBUCKS HYDERABAD,-243.82
2024-03-20,UPI/884460141255/BHARAT PETROLEUM/oksbi,-313.67
2024-03-20,YOUTUBE PREMIUM BANGALORE,-891.45
2024-03-21,POS 3110XXXXXX4176 INDIAN OIL PETROL GURGAON,-350.57
2024-03-22,CLIENT PAYMENT NEFT GURGAON,20708.96
2024-03-22,THIRD WAVE COFFEE BANGALORE,-440.12
2024-03-23,UPI-SPOTIFY-295933938139@axl,-984.46
2024-03-23,UPI/438994375102/BHARAT GAS/ybl,-887.77
2024-03-24,ACH D- STARBUCKS-958415,-399.61
2024-03-25,ACH D- RENT TRANSFER LANDLORD-487624,-9770.60
2024-03-26,CAFE C 580923,-369.30
2024-03-26,ZEPTO GURGAON,-6167.24
2024-03-28,IRCTC BANGALORE,-263.58
2024-03-28,KFC 034254,-306.21
2024-03-28,UBER 324342,-208.87
2024-03-31,ACH D- PUNJABI DHABA-738181,-685.48
2024-04-02,ACH D- DOMINOS PIZZA-479731,-569.10
2024-04-03,CLIENT PAYMENT NEFT PUNE,26067.57
2024-04-03,POS 6561XXXXXX7979 PIZZA HUT MUMBAI,-189.02
2024-04-04,ACH D- DOMINOS PIZZA-970119,-568.04
2024-04-04,ACH D- EATSURE-435867,-907.47
2024-04-04,POS 5193XXXXXX3861 GOOGLE ONE NOIDA,-341.83
2024-04-04,YOUTUB 068220,-630.61
2024-04-05,H&M 469838,-63741.65
2024-04-05,SHELL FUEL *26085,-117.12
2024-04-06,MUMBAI LOCAL PASS *91535,-209.65
2024-04-06,POS 7592XXXXXX8101 RELIANCE FRESH CHENNAI,-1831.49
2024-04-07,ACH D- STARBUCKS-667722,-394.16
2024-04-07,POS 4073XXXXXX5014 STARBUCKS HYDERABAD,-448.95
2024-04-07,POS 5054XXXXXX8530 STARBUCKS MUMBAI,-401.64
2024-04-07,POS 5306XXXXXX2095 THIRD WAVE COFFEE PUNE,-259.89
2024-04-07,UPI-STARBUCKS-392634041@icici,-419.06
2024-04-07,UPI-STARBUCKS-882216020029@ybl,-498.00
2024-04-07,UPI/410328802350/STARBUCKS/oksbi,-501.44
2024-04-07,UPI/795576221421/STARBUCKS/ybl,-463.87
2024-04-07,ZOMATO 189722,-766.88
2024-04-08,UPI-ZOMATO-296488145635@icici,-249.33
2024-04-09,UPI/267305867/MUMBAI LOCAL PASS/ybl,-305.62
2024-04-10,POS 1307XXXXXX8220 BWSSB WATER CHENNAI,-1221.23
2024-04-11,ACH D- MORE SUPERMARKET-329840,-1563.57
2024-04-11,CLIENT PAYMENT NEFT CHENNAI,29137.79
2024-04-11,POS 5678XXXXXX7195 PLUMBER HOME SERVICE BANGALORE,-12401.60
2024-04-11,UPI/141032489/PUNJABI DHABA/oksbi,-418.52
2024-04-12,MCDONALDS *27268,-344.14
2024-04-12,POS 6224XXXXXX2723 FORTIS HOSPITAL NOIDA,-459.80
2024-04-13,AMAZON *92059,-1163.89
2024-04-13,UPI-BLUE TOKAI-524951306584@ybl,-697.95
2024-04-14,POS 4229XXXXXX2940 RAPIDO BANGALORE,-199.63
2024-04-15,MICROSOFT 365 *99792,-659.70
2024-04-16,ACH D- BMTC BUS PASS-519660,-209.44
2024-04-16,INDIAN OIL PETROL *09121,-270.59
2024-04-16,UPI/619911024/HP PETROL PUMP/okhdfc,-262.30
2024-04-17,ACH D- ACT FIBERNET-470020,-743.33
2024-04-17,UBER 343828,-302.82
2024-04-19,THIRD WAVE COFFEE *33456,-362.19
2024-04-19,YOUTUBE PREMI 375022,-693.68
2024-04-20,ACH D- DOMINOS PIZZA-279381,-299.98
2024-04-21,ACH D- ACT FIBERNET-894695,-2989.88
2024-04-21,YOUTUBE PREMIUM BANGALORE,-335.76
2024-04-21,ZEPTO CHENNAI,-636.55
2024-04-22,ACH D- BMTC BUS PASS-348695,-385.20
2024-04-22,CLIENT PAYMENT NEFT BANGALORE,18949.17
2024-04-22,UPI/821232218365/TAJ HOTELS/ybl,-65805.38
2024-04-23,UPI-INDIAN OIL PETROL-390130205@ybl,-126.96
2024-04-24,UPI/042173111023/SPENCERS/ybl,-720.68
2024-04-24,UPI/562069513750/EATSURE/ybl,-756.35
2024-04-25,PIZZA HUT GURGAON,-713.42
2024-04-27,POS 4592XXXXXX9251 MICROSOFT 365 CHENNAI,-407.36
2024-04-28,UPI-AIRBNB-772035451@axl,-6184.04
2024-04-30,ACH D- BOOKS PUBLISHER-174572,-1899.27
2024-05-01,CLIENT PAYMENT NEFT PUNE,28044.65
2024-05-01,POS 5571XXXXXX6151 BHARAT GAS NOIDA,-1233.86
2024-05-01,POS 8124XXXXXX6225 KFC NOIDA,-563.83
2024-05-02,ACH D- STARBUCKS-426039,-217.52
2024-05-02,UPI/246311077/UBER/oksbi,-153.08
2024-05-02,UPI/288047206/MICROSOFT 365/oksbi,-659.84
2024-05-03,KFC GURGAON,-216.49
2024-05-04,BWSSB WATE 396480,-1878.61
2024-05-04,COLLEGE F 559663,-3710.88
2024-05-04,SPOTIF 400922,-641.55
2024-05-04,UPI-SHARMA KIRANA-734896056431@icici,-457.66
2024-05-05,AMAZON 011974,-1565.16
2024-05-06,BIG BAZAAR *14196,-466.32
2024-05-07,ACH D- BLUE TOKAI-260538,-1001.73
2024-05-07,ACH D- DMART-131963,-1177.42
2024-05-07,POS 8771XXXXXX7006 SWIGGY PUNE,-640.39
2024-05-08,KFC *38841,-274.50
2024-05-08,POS 1960XXXXXX9879 SWIGGY INSTAMART MUMBAI,-479.01
2024-05-08,UPI-INDIAN OIL PETROL-683774580@ybl,-250.10
2024-05-10,ACH D- STARBUCKS-622077,-585.47
2024-05-10,POS 2910XXXXXX1953 STARBUCKS CHENNAI,-513.95
2024-05-10,POS 5992XXXXXX8631 STARBUCKS DELHI,-319.08
2024-05-10,POS 7979XXXXXX8857 STARBUCKS DELHI,-365.16
2024-05-10,STARBU 388563,-711.13
2024-05-10,STARBU 760238,-651.61
2024-05-10,UPI-BLUE TOKAI-779357142456@icici,-287.69
2024-05-13,ACH D- HOTSTAR-606143,-515.65
2024-05-13,CLIENT PAYMENT NEFT CHENNAI,31442.93
2024-05-13,SAGAR RATNA *61768,-857.68
2024-05-15,POS 6705XXXXXX7900 THIRD WAVE COFFEE DELHI,-442.91
2024-05-15,RENT TRANSFER LANDLORD HYDERABAD,-13004.58
2024-05-16,ACH D- DOMINOS PIZZA-952630,-494.23
2024-05-16,ACH D- ZOMATO-482473,-175.63
2024-05-16,POS 3807XXXXXX6327 DELHI METRO BANGALORE,-171.33
2024-05-16,POS 6458XXXXXX2265 NAMMA METRO DELHI,-2654.17
2024-05-17,POS 9792XXXXXX3293 MUMBAI LOCAL PASS NOIDA,-443.94
2024-05-17,UPI/488962620/SWIGGY/ybl,-461.81
2024-05-18,PIZZA HUT *76032,-246.10
